"No.","Time","Source","Destination","Protocol","Length","Info"
"54","0.000583","11.0.0.210","10.42.0.2","TCP","60","22662  >  80 [SYN] Seq=0 Win=512 Len=0"
"55","0.000593","11.0.0.210","10.42.0.2","TCP","60","22663  >  80 [SYN] Seq=0 Win=512 Len=0"
"56","0.000600","11.0.0.210","10.42.0.2","TCP","60","22664  >  80 [SYN] Seq=0 Win=512 Len=0"
"57","0.000610","11.0.0.210","10.42.0.2","TCP","60","22665  >  80 [SYN] Seq=0 Win=512 Len=0"
"58","0.000617","11.0.0.210","10.42.0.2","TCP","60","22666  >  80 [SYN] Seq=0 Win=512 Len=0"
"59","0.000626","11.0.0.210","10.42.0.2","TCP","60","22667  >  80 [SYN] Seq=0 Win=512 Len=0"
"60","0.000635","11.0.0.210","10.42.0.2","TCP","60","22668  >  80 [SYN] Seq=0 Win=512 Len=0"
"61","0.000643","11.0.0.210","10.42.0.2","TCP","60","22670  >  80 [SYN] Seq=0 Win=512 Len=0"
"62","0.000652","11.0.0.210","10.42.0.2","TCP","60","22672  >  80 [SYN] Seq=0 Win=512 Len=0"
"63","0.000661","11.0.0.210","10.42.0.2","TCP","60","22673  >  80 [SYN] Seq=0 Win=512 Len=0"
"64","0.000669","11.0.0.210","10.42.0.2","TCP","60","22674  >  80 [SYN] Seq=0 Win=512 Len=0"
"65","0.000699","11.0.0.210","10.42.0.2","TCP","60","22675  >  80 [SYN] Seq=0 Win=512 Len=0"
"66","0.000707","11.0.0.210","10.42.0.2","TCP","60","22676  >  80 [SYN] Seq=0 Win=512 Len=0"
"67","0.000716","11.0.0.210","10.42.0.2","TCP","60","22677  >  80 [SYN] Seq=0 Win=512 Len=0"
"68","0.000729","11.0.0.210","10.42.0.2","TCP","60","22678  >  80 [SYN] Seq=0 Win=512 Len=0"
"69","0.000748","11.0.0.210","10.42.0.2","TCP","60","22697  >  80 [SYN] Seq=0 Win=512 Len=0"
"70","0.000759","11.0.0.210","10.42.0.2","TCP","60","22680  >  80 [SYN] Seq=0 Win=512 Len=0"
"71","0.000767","11.0.0.210","10.42.0.2","TCP","60","22681  >  80 [SYN] Seq=0 Win=512 Len=0"
"72","0.000776","11.0.0.210","10.42.0.2","TCP","60","22682  >  80 [SYN] Seq=0 Win=512 Len=0"
"73","0.000785","11.0.0.210","10.42.0.2","TCP","60","22683  >  80 [SYN] Seq=0 Win=512 Len=0"
"74","0.000793","11.0.0.210","10.42.0.2","TCP","60","22684  >  80 [SYN] Seq=0 Win=512 Len=0"
"75","0.000802","11.0.0.210","10.42.0.2","TCP","60","22685  >  80 [SYN] Seq=0 Win=512 Len=0"
"76","0.000811","11.0.0.210","10.42.0.2","TCP","60","22686  >  80 [SYN] Seq=0 Win=512 Len=0"
"77","0.000819","11.0.0.210","10.42.0.2","TCP","60","22687  >  80 [SYN] Seq=0 Win=512 Len=0"
"78","0.000828","11.0.0.210","10.42.0.2","TCP","60","22688  >  80 [SYN] Seq=0 Win=512 Len=0"
"79","0.000836","11.0.0.210","10.42.0.2","TCP","60","22690  >  80 [SYN] Seq=0 Win=512 Len=0"
"80","0.000845","11.0.0.210","10.42.0.2","TCP","60","22718  >  80 [SYN] Seq=0 Win=512 Len=0"
"81","0.000877","11.0.0.210","10.42.0.2","TCP","60","22691  >  80 [SYN] Seq=0 Win=512 Len=0"
"82","0.000885","11.0.0.210","10.42.0.2","TCP","60","22692  >  80 [SYN] Seq=0 Win=512 Len=0"
"83","0.000894","11.0.0.210","10.42.0.2","TCP","60","22693  >  80 [SYN] Seq=0 Win=512 Len=0"
"84","0.000904","11.0.0.210","10.42.0.2","TCP","60","22694  >  80 [SYN] Seq=0 Win=512 Len=0"
"85","0.000921","11.0.0.210","10.42.0.2","TCP","60","22695  >  80 [SYN] Seq=0 Win=512 Len=0"
"86","0.000930","11.0.0.210","10.42.0.2","TCP","60","22696  >  80 [SYN] Seq=0 Win=512 Len=0"
"87","0.000938","11.0.0.210","10.42.0.2","TCP","60","22706  >  80 [SYN] Seq=0 Win=512 Len=0"
